%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1588238479194439582,6404,1588238479192977905,/gps,0,1,35.6751046317,128.448029378,49.986,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238479317789630,6405,1588238479317440986,/gps,0,1,35.6751046217,128.44802939,49.984,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238479446521588,6406,1588238479445359945,/gps,0,1,35.67510462,128.448029388,49.99,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238479575131613,6407,1588238479574393033,/gps,0,1,35.6751046167,128.448029395,49.983,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238479666555394,6408,1588238479664710998,/gps,0,1,35.6751046233,128.448029397,49.981,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238479796459635,6409,1588238479795326948,/gps,0,1,35.6751046167,128.448029407,49.978,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238479920799945,6410,1588238479920429944,/gps,0,1,35.67510461,128.448029415,49.981,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480058624971,6411,1588238480056415081,/gps,0,1,35.67510461,128.44802941,49.98,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480182325717,6412,1588238480181756019,/gps,0,1,35.6751046,128.448029417,49.983,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480310455457,6413,1588238480308274984,/gps,0,1,35.6751046,128.448029422,49.977,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480438758055,6414,1588238480438261985,/gps,0,1,35.6751045983,128.448029432,49.98,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480566655592,6415,1588238480565015077,/gps,0,1,35.6751045917,128.44802943,49.979,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480693625627,6416,1588238480691847085,/gps,0,1,35.6751046017,128.448029422,49.977,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480786173223,6417,1588238480784427881,/gps,0,1,35.675104605,128.448029432,49.975,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238480915485416,6418,1588238480914899110,/gps,0,1,35.6751045933,128.448029432,49.978,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238481040518309,6419,1588238481040026903,/gps,0,1,35.6751045983,128.448029438,49.974,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238481175723742,6420,1588238481174108028,/gps,0,1,35.675104595,128.448029435,49.974,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238481300675897,6421,1588238481299226045,/gps,0,1,35.6751046,128.448029435,49.973,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238481426954991,6422,1588238481426423072,/gps,0,1,35.6751046,128.448029435,49.974,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238481557476686,6423,1588238481557118892,/gps,0,1,35.6751045967,128.448029433,49.973,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
